cycle,capacity,SoH,resistance,CCCT,CVCT,CCDT
1.0,1.1338066110520781,0.8254050555115411,0.09162821620702744,6671.683200205512,2212.9986354321536,3807.8201980960457
2.0,1.1334134702484167,0.8253883873304776,0.09162821620702744,6666.933312022656,2204.3736261602,3806.3036925958204
3.0,1.1328286101875913,0.8253910357821249,0.09081734716892242,6662.682286644406,2201.186076014451,3802.75966059191
4.0,1.1270332722889724,0.8162401186664305,0.088546022772789,6656.650721758844,2225.592597365354,3793.184657743899
5.0,1.1267116857980117,0.8070601240347011,0.08749417960643768,6693.7885696829,2052.8491532307453,3792.11213615007
6.0,1.124261017581048,0.7978846573843998,0.08676299452781677,6692.824462561308,2016.772509990289,3778.3548322696224
7.0,1.1150115166743946,0.8070445369846487,0.09000647813081741,6611.138098863703,2133.3906851653373,3746.7901808761962
8.0,1.1089666145750847,0.8070491149896618,0.088546022772789,6567.52747960687,2132.390338633966,3736.1243707316607
9.0,1.1075882593653052,0.807053525556331,0.0906522199511528,6549.85575546787,2121.577961984498,3728.0672913880844
10.0,1.105772038995162,0.7978555511451167,0.08911444246768951,6532.652939652675,2116.187200803921,3716.391539938806
11.0,1.1082769593025792,0.8070549098815236,0.08676299452781677,6532.12234636597,2067.800173493568,3733.382667649159
12.0,1.112932182255405,0.7978865566868547,0.08757387101650238,6585.805414710121,1995.521538721121,3737.9958684559533
13.0,1.112988055371036,0.7887256167993684,0.08595212548971176,6601.762038962479,1962.4134446435783,3738.342958391586
14.0,1.1127971667461132,0.7887303812244583,0.0852188766002655,6605.545731438324,1943.820779832051,3737.7361455910723
15.0,1.112458056752362,0.7887248273489592,0.08506378531455994,6608.1729737746355,1929.7434075989295,3736.368223395373
16.0,1.1121902604059106,0.788718511176929,0.08579585701227188,6610.19082131164,1913.9319539814605,3735.3600338126125
17.0,1.112012700816156,0.7887205976633687,0.08433038741350174,6612.958308546309,1898.7450946952158,3734.684414642601
18.0,1.108000436582179,0.7887326637463358,0.08498646318912506,6611.6634021762,1892.0104572364944,3732.5282162495714
19.0,1.1075350499545462,0.7887358098334618,0.08498646318912506,6609.42848473927,1886.5553298254963,3730.0287729610573
20.0,1.1071381215567389,0.7795564018823085,0.08490926772356033,6607.179659299349,1879.6832511259126,3727.930818447843
21.0,1.1067523031151418,0.7795550076710316,0.0835956558585167,6605.321031822852,1871.3554058730952,3725.780187492317
22.0,1.1064770587905484,0.7795394737530075,0.0836719274520874,6602.697030829935,1866.3558816855075,3724.4365672490385
23.0,1.1063048574157182,0.7795506093287725,0.08498646318912506,6601.464632574265,1860.0281428232265,3723.443361325597
24.0,1.1058361647172874,0.779549102559116,0.0820472314953804,6600.590386494063,1854.2940430974122,3720.7531414908008
25.0,1.1054579660440906,0.7795568101764548,0.08417706191539764,6597.6997310312,1850.2941904639592,3718.5646836127853
26.0,1.1051384630419614,0.7795644446494824,0.08278404921293259,6592.684472929861,1847.3410706607392,3716.6092737420113
27.0,1.0957048003880436,0.7795260283597352,0.0852188766002655,6552.461273415247,1935.11701527267,3682.7374444437446
28.0,1.08910990291196,0.7795395555966299,0.0883043110370636,6472.704793040757,2001.908562639961,3669.72146820114
29.0,1.0879088780265784,0.7795288978496628,0.08603048324584961,6446.89059779339,2014.5018264080863,3662.2035017519956
30.0,1.0871404645160523,0.7795149945669733,0.08668404817581177,6429.311224831967,2026.298388089519,3656.7858905771864
31.0,1.085984676363469,0.7886973909415639,0.08676299452781677,6408.576510559069,2046.844408058154,3649.981768029742
32.0,1.0940259166577682,0.7795470558267914,0.08506378531455994,6445.305092350987,1934.6472046901472,3676.325989507837
33.0,1.0949674538454621,0.7703774636633827,0.08433038741350174,6499.998839121778,1895.2272395027103,3680.6905305073597
34.0,1.0858072780786652,0.7795256808798094,0.08668404817581177,6467.059631872107,1980.7374838876422,3649.403897443204
